permission_id,role_id
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
46,2
66,2
67,2
68,2
69,2
71,2
72,2
73,2
74,2
76,2
77,2
78,2
79,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
46,3
66,3
69,3
71,3
74,3
76,3
79,3
81,3
82,3
83,3
84,3
85,3
86,3
89,3
